sample	kind	channel	note	velocity
1007879	on	10	36	88
1008128	on	2	36	86
1008128	off	2	36	0
1010176	on	2	36	86
1010176	off	2	36	0
1013806	off	10	53	0
1013879	off	10	36	0
1014024	on	10	38	38
1014272	on	2	36	86
1014272	off	2	36	0
1016320	on	2	36	86
1016320	off	2	36	0
1019938	on	10	42	77
1020024	off	10	38	0
1025938	off	10	42	0
1026048	on	2	36	86
1026048	off	2	36	0
1028096	on	2	36	86
1028096	off	2	36	0
1032052	on	10	38	105
1032192	on	2	36	86
1032192	off	2	36	0
1034240	on	2	36	86
1034240	off	2	36	0
1038052	off	10	38	0
1043968	off	2	36	0
1044000	on	2	36	86
1044198	on	10	42	60
1046016	on	2	36	86
1046016	off	2	36	0
1050198	off	10	42	0
1055850	on	10	36	107
1055905	on	10	53	75
1056000	on	10	41	112
1056000	on	10	49	122
1061850	off	10	36	0
1061888	off	2	36	0
1061905	off	10	53	0
1062000	on	2	36	86
1062000	on	10	41	110
1062000	off	10	41	0
1063936	on	2	36	86
1063936	off	2	36	0
1068000	on	10	45	110
1068000	off	10	41	0
1074000	on	10	48	112
1074000	off	10	45	0
1074176	on	2	36	86
1074176	off	2	36	0
1076224	on	2	36	86
1076224	off	2	36	0
1080000	on	10	38	114
1080000	off	10	48	0
1080320	on	2	36	86
1080320	off	2	36	0
1082368	on	2	36	86
1082368	off	2	36	0
1086000	on	10	48	112
1086000	off	10	38	0
1092000	on	10	45	112
1092000	off	10	48	0
1092096	on	2	36	86
1092096	off	2	36	0
1094144	on	2	36	86
1094144	off	2	36	0
1098000	on	10	41	114
1098000	off	10	45	0
1098240	on	2	36	86
1098240	off	2	36	0
1100288	on	2	36	86
1100288	off	2	36	0
1104000	on	10	38	116
1104000	off	10	41	0
1104000	off	10	49	0
1110000	on	10	48	114
1110000	off	10	38	0
1110016	on	2	36	86
1110016	off	2	36	0
1112064	on	2	36	86
1112064	off	2	36	0
1116000	on	10	45	114
1116000	off	10	48	0
1122000	on	10	41	116
1122000	off	10	45	0
1127936	off	2	36	0
1128000	on	2	36	86
1128000	on	10	36	120
1128000	off	10	41	0
1129984	on	2	36	86
1129984	off	2	36	0
1134000	on	10	48	114
1134000	off	10	36	0
1140000	on	10	45	114
1140000	off	10	48	0
1140224	on	2	36	86
1140224	off	2	36	0
1142272	on	2	36	86
1142272	off	2	36	0
1146000	on	10	41	118
1146000	on	10	49	124
1146000	off	10	45	0
1146368	on	2	36	86
1146368	off	2	36	0
1148416	on	2	36	86
1148416	off	2	36	0
1152000	on	2	36	86
1152000	off	2	36	0
1152000	off	10	41	0
1154048	on	2	36	86
1154048	off	2	36	0
1158144	on	2	36	86
1158144	off	2	36	0
1160192	on	2	36	86
1160192	off	2	36	0
1163881	on	10	42	69
1169881	off	10	42	0
1176064	on	2	36	86
1176064	off	2	36	0
1178112	on	2	36	86
1178112	off	2	36	0
1187979	on	10	42	63
1193979	off	10	42	0
1193984	off	2	36	0
1194000	on	2	36	86
1196032	on	2	36	86
1196032	off	2	36	0
1199961	on	10	38	111
1205828	on	10	38	48
1205828	off	10	38	0
1206000	off	10	49	0
1206272	on	2	36	86
1206272	off	2	36	0
1208320	on	2	36	86
1208320	off	2	36	0
1211828	off	10	38	0
1212023	on	10	42	75
1212416	on	2	36	86
1212416	off	2	36	0
1214464	on	2	36	86
1214464	off	2	36	0
1218023	off	10	42	0
1218048	on	2	36	86
1218048	off	2	36	0
1220096	on	2	36	86
1220096	off	2	36	0
1223947	on	10	51	95
1224192	on	2	36	86
1224192	off	2	36	0
1226240	on	2	36	86
1226240	off	2	36	0
1229947	off	10	51	0
1235867	on	10	42	69
1235968	off	2	31	0
1235968	off	2	36	0
1236000	on	2	31	96
1236000	on	2	36	86
1238016	on	2	36	86
1238016	off	2	36	0
1241867	off	10	42	0
1242112	on	2	36	86
1242112	off	2	36	0
1244160	on	2	36	86
1244160	off	2	36	0
1247801	on	10	52	112
1247872	on	10	36	116
1247872	on	10	36	120
1247872	off	10	36	0
1248000	on	10	49	114
1253872	off	10	36	0
1259896	on	10	46	90
1260032	on	2	36	86
1260032	off	2	36	0
1262080	on	2	36	86
1262080	off	2	36	0
1271884	on	10	38	117
1272320	on	2	36	86
1272320	off	2	36	0
1274368	on	2	36	86
1274368	off	2	36	0
1277884	off	10	38	0
1278464	on	2	36	86
1278464	off	2	36	0
1280512	on	2	36	86
1280512	off	2	36	0
1283801	off	10	52	0
1283896	off	10	46	0
1284001	on	10	46	94
1284096	on	2	36	86
1284096	off	2	36	0
1286144	on	2	36	86
1286144	off	2	36	0
1290240	on	2	36	86
1290240	off	2	36	0
1292288	on	2	36	86
1292288	off	2	36	0
1295795	on	10	36	114
1295822	on	10	53	96
1301795	off	10	36	0
1301822	off	10	53	0
1302016	on	2	36	86
1302016	off	2	36	0
1304064	on	2	36	86
1304064	off	2	36	0
1307856	on	10	46	109
1307856	off	10	46	0
1308000	off	10	49	0
1308160	on	2	36	86
1308160	off	2	36	0
1310208	on	2	36	86
1310208	off	2	36	0
1319936	off	2	36	0
1319981	on	10	38	120
1320000	on	2	36	86
1321984	on	2	36	86
1321984	off	2	36	0
1325981	off	10	38	0
1326080	on	2	36	86
1326080	off	2	36	0
1328128	on	2	36	86
1328128	off	2	36	0
1331712	off	2	36	0
1331806	on	10	46	99
1331806	off	10	46	0
1332000	on	2	31	96
1338368	on	2	36	86
1338368	off	2	31	0
1340416	on	2	36	86
1340416	off	2	36	0
1343960	on	10	49	120
1344028	on	10	36	120
1344043	on	10	53	110
1344512	on	2	36	86
1344512	off	2	36	0
1346560	on	2	36	86
1346560	off	2	36	0
1350028	off	10	36	0
1350043	off	10	53	0
1350144	on	2	36	86
1350144	off	2	36	0
1352192	on	2	36	86
1352192	off	2	36	0
1355806	off	10	46	0
1355930	on	10	46	93
1356288	on	2	36	86
1356288	off	2	36	0
1358336	on	2	36	86
1358336	off	2	36	0
1368064	on	2	36	86
1368064	off	2	36	0
1368093	on	10	38	117
1370112	on	2	36	86
1370112	off	2	36	0
1374093	off	10	38	0
1374208	on	2	36	86
1374208	off	2	36	0
1376256	on	2	36	86
1376256	off	2	36	0
1379930	off	10	46	0
1380175	on	10	46	102
1385984	off	2	36	0
1386000	on	2	36	86
1388032	on	2	36	86
1388032	off	2	36	0
1391991	on	10	36	113
1392128	on	2	36	86
1392128	off	2	36	0
1394176	on	2	36	86
1394176	off	2	36	0
1397991	off	10	36	0
1403904	off	2	36	0
1403960	off	10	49	0
1403978	on	10	46	97
1403978	off	10	46	0
1404000	on	2	36	86
1405952	on	2	36	86
1405952	off	2	36	0
1410560	on	2	36	86
1410560	off	2	36	0
1412608	on	2	36	86
1412608	off	2	36	0
1415991	on	10	38	116
1416192	on	2	36	86
1416192	off	2	36	0
1418240	on	2	36	86
1418240	off	2	36	0
1421991	off	10	38	0
1422336	on	2	36	86
1422336	off	2	36	0
1424384	on	2	36	86
1424384	off	2	36	0
1427842	on	10	46	91
1427842	off	10	46	0
1434112	on	2	36	86
1434112	off	2	36	0
1436160	on	2	36	86
1436160	off	2	36	0
1439869	on	10	52	115
1439872	on	10	49	115
1439915	on	10	36	116
1439915	on	10	36	116
1439915	off	10	36	0
1440256	on	2	36	86
1440256	off	2	36	0
1442304	on	2	36	86
1442304	off	2	36	0
1445915	off	10	36	0
1446188	on	10	36	104
1451842	off	10	46	0
1451855	on	10	38	101
1452032	on	2	36	86
1452032	off	2	36	0
1452188	off	10	36	0
1454080	on	2	36	86
1454080	off	2	36	0
1457780	on	10	36	113
1457855	off	10	38	0
1463780	off	10	36	0
1463953	on	10	38	117
1469952	off	2	36	0
1469953	off	10	38	0
1470000	on	2	36	86
1470027	on	10	36	106
1472000	on	2	36	86
1472000	off	2	36	0
1475869	off	10	52	0
1475872	off	10	49	0
1476027	off	10	36	0
1476066	on	10	38	109
1482066	off	10	38	0
1482078	on	10	36	113
1482240	on	2	36	86
1482240	off	2	36	0
1484288	on	2	36	86
1484288	off	2	36	0
1487726	on	10	38	115
1487856	on	10	53	112
1488078	off	10	36	0
1488384	on	2	36	86
1488384	off	2	36	0
1490432	on	2	36	86
1490432	off	2	36	0
1493726	off	10	38	0
1493856	off	10	53	0
1494016	on	2	36	86
1494016	off	2	36	0
1494238	on	10	36	109
1496064	on	2	36	86
1496064	off	2	36	0
1499833	on	10	38	112
1500160	on	2	36	86
1500160	off	2	36	0
1500238	off	10	36	0
1502208	on	2	36	86
1502208	off	2	36	0
1505804	on	10	36	113
1505833	off	10	38	0
1506304	on	2	36	86
1506304	off	2	36	0
1508352	on	2	36	86
1508352	off	2	36	0
1511804	off	10	36	0
1511920	on	10	38	121
1511923	on	10	53	112
